MA,cntr,GDPpc_1990,GDPpc_1991,GDPpc_1992,GDPpc_1993,GDPpc_1994,GDPpc_1995,GDPpc_1996,GDPpc_1997,GDPpc_1998,GDPpc_1999,GDPpc_2000,GDPpc_2001,GDPpc_2002,GDPpc_2003,GDPpc_2004,GDPpc_2005,GDPpc_2006,GDPpc_2007,GDPpc_2008,GDPpc_2009,GDPpc_2010,GDPpc_2011,GDPpc_2012,GDPpc_2013,GDPpc_2014
Rotterdam [The Hague]_NL,NL,33749.859375,34171.53515625,34365.16796875,34430.4921875,35102.98046875,35882.6875,36867.46875,38386.0625,40112.3515625,41745.7734375,43278.46875,43912.22265625,43385.25,43412.94140625,44235.24609375,45558.57421875,46822.046875,48815.22265625,48825.3671875,46315.65625,46488.8515625,47042.32421875,46373.1328125,46007.46875,46305.703125
's-Hertogenbosch_NL,NL,30193.779296875,30767.40625,31151.044921875,31430.896484375,32279.765625,33246.03125,34422.54296875,35774.6328125,37024.21484375,39000.5234375,40542.4921875,40819.78515625,40231.86328125,40148.359375,40824.34765625,41531.19140625,43215.54296875,44585.87109375,45075.50390625,43481.578125,43662.546875,44182.359375,43553.85546875,43210.41796875,43490.5234375
A Coruña_ES,ES,19815.451171875,20161.244140625,20586.947265625,20358.458984375,20463.240234375,22197.21484375,22171.001953125,22694.201171875,23412.533203125,23900.490234375,24227.90625,24982.658203125,26145.197265625,26829.39453125,27590.37890625,28789.029296875,29664.59375,30874.720703125,31588.158203125,31192.033203125,32201.85546875,31766.716796875,30914.24609375,30497.26171875,31004.796875
Heerlen_DE,DE,32157.654296875,33130.25390625,33276.53515625,32594.091796875,33153.7265625,33812.0234375,33747.4453125,34450.51171875,35121.94140625,35414.52734375,36161.8515625,36471.3359375,36522.77734375,36163.1328125,36773.03125,36940.40234375,38148.01171875,39953.86328125,40881.80859375,38413.3984375,39886.1640625,41335.3046875,42210.4921875,41456.2421875,42717.69140625
Zurich_CH,CH,55905.44921875,54502.71484375,53746.1171875,52656.8359375,53759.33203125,53345.08203125,53799.28515625,55538.52734375,57475.91796875,58049.25390625,59859.02734375,59322.2109375,59258.22265625,59549.4140625,60889.0859375,62078.74609375,63834.5390625,65570.3828125,65987.1484375,63693.359375,64045.7734375,64479.55859375,64515.05078125,64904.55859375,65328.74609375
Aalborg_DK,DK,21561.189453125,22038.21484375,22918.71484375,23183.052734375,24131.501953125,24532.998046875,24750.86328125,25288.8125,26056.876953125,26639.841796875,27400.57421875,27459.498046875,27942.3046875,27683.51171875,28287.2265625,28412.2890625,29843.279296875,29965.001953125,29613.4296875,28338.23828125,28215.779296875,28421.904296875,28292.716796875,28100.9609375,28310.9375
Amsterdam_NL,NL,36903.93359375,37519.65234375,37884.359375,38104.60546875,38994.796875,40004.16015625,41242.203125,43235.7578125,45135.94140625,47148.26953125,48380.83203125,48617.02734375,49715.5390625,49387.3984375,50442.421875,51200.62890625,52134.2890625,53510.4375,53609.59765625,51966.87890625,52848.3671875,53477.5234375,52716.8046875,52301.125,52640.16796875
Brussels_BE,BE,38125.38671875,38847.03515625,39440.078125,39053.32421875,40326.44921875,41328.58984375,42019.6796875,43270.11328125,44440.08203125,46249.35546875,47778.015625,48440.125,48959.21484375,48945.59375,50501.0546875,51279.46484375,51849.09765625,52971.875,52788.578125,51923.4921875,52719.2734375,52925.0625,52623.2890625,52364.7890625,52814.59765625
Ghent_BE,BE,26182.814453125,26539.62109375,26830.123046875,26481.296875,27286.56640625,27938.43359375,28414.751953125,29748.517578125,30232.810546875,30848.703125,31895.828125,32050.01171875,33041.66796875,33424.76171875,34619.16796875,35023.265625,35777.94921875,37260.17578125,36955.55078125,36200.3359375,36789.75,36933.37890625,36722.76171875,36542.375,36856.265625
Biel/Bienne_CH,CH,39668.62890625,39066.43359375,38521.00390625,38173.31640625,38422.03125,38767.61328125,38463.04296875,38556.05078125,38982.47265625,39404.30078125,40803.03125,42650.18359375,42828.20703125,41858.23046875,43242.01953125,43889.96484375,46224.734375,49064.62109375,50707.52734375,49362.65234375,50658.65234375,51001.765625,51029.8125,51337.91015625,51673.421875
